SampleName,StartDate,EndDate
TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25DEC13-02-033 ,TEM ABF Effluent (12-12-2025),12/12/2025,pH,7.48,7.48,,pH Units
ST25DEC13-02-033 ,TEM ABF Effluent (12-12-2025),12/12/2025,Soluble BOD,209,209,,mg/L
ST25DEC14-02-033 ,TEM ABF Effluent (12-13-2025),12/13/2025,% Volatile Suspended Solids,96,96,,%
ST25DEC14-02-033 ,TEM ABF Effluent (12-13-2025),12/13/2025,Total Suspended Solids,238,238,,mg/L
ST25DEC14-02-033 ,TEM ABF Effluent (12-13-2025),12/13/2025,Volatile Suspended Solids,228,228,,mg/L
ST25DEC14-02-033 ,TEM ABF Effluent (12-13-2025),12/13/2025,pH,7.53,7.53,,pH Units
ST25DEC14-02-033 ,TEM ABF Effluent (12-13-2025),12/13/2025,Soluble BOD,186,186,,mg/L
ST25DEC15-01-034 ,TEM ABF Effluent (12-14-2025),12/14/2025,% Volatile Suspended Solids,77,77,,%
ST25DEC15-01-034 ,TEM ABF Effluent (12-14-2025),12/14/2025,Total Suspended Solids,240,240,,mg/L
ST25DEC15-01-034 ,TEM ABF Effluent (12-14-2025),12/14/2025,Volatile Suspended Solids,184,184,,mg/L
ST25DEC15-01-034 ,TEM ABF Effluent (12-14-2025),12/14/2025,pH,7.57,7.57,,pH Units
ST25DEC15-01-034 ,TEM ABF Effluent (12-14-2025),12/14/2025,Soluble BOD,145,145,,mg/L
ST25DEC16-01-034 ,TEM ABF Effluent (12-15-2025),12/15/2025,% Volatile Suspended Solids,88,88,,%
ST25DEC16-01-034 ,TEM ABF Effluent (12-15-2025),12/15/2025,Total Suspended Solids,131,131,,mg/L
ST25DEC16-01-034 ,TEM ABF Effluent (12-15-2025),12/15/2025,Volatile Suspended Solids,115,115,,mg/L
ST25DEC16-01-034 ,TEM ABF Effluent (12-15-2025),12/15/2025,pH,7.50,7.50,,pH Units
ST25DEC16-01-034 ,TEM ABF Effluent (12-15-2025),12/15/2025,Soluble BOD,106,106,,mg/L
ST25DEC17-01-034 ,TEM ABF Effluent (12-16-2025),12/16/2025,% Volatile Suspended Solids,87,87,,%
ST25DEC17-01-034 ,TEM ABF Effluent (12-16-2025),12/16/2025,Total Suspended Solids,184,184,,mg/L
ST25DEC17-01-034 ,TEM ABF Effluent (12-16-2025),12/16/2025,Volatile Suspended Solids,160,160,,mg/L
ST25DEC17-01-034 ,TEM ABF Effluent (12-16-2025),12/16/2025,pH,7.34,7.34,,pH Units
ST25DEC17-01-034 ,TEM ABF Effluent (12-16-2025),12/16/2025,Soluble BOD,192,192,,mg/L
ST25DEC18-01-036 ,TEM ABF Effluent (12-17-2025),12/17/2025,pH,7.32,7.32,,pH Units
ST25DEC18-01-036 ,TEM ABF Effluent (12-17-2025),12/17/2025,Soluble BOD,272,272,,mg/L
ST25DEC18-01-036 ,TEM ABF Effluent (12-17-2025),12/17/2025,% Volatile Suspended Solids,86,86,,%
ST25DEC18-01-036 ,TEM ABF Effluent (12-17-2025),12/17/2025,Total Suspended Solids,208,208,,mg/L
ST25DEC18-01-036 ,TEM ABF Effluent (12-17-2025),12/17/2025,Volatile Suspended Solids,178,178,,mg/L
ST25DEC19-01-034 ,TEM ABF Effluent (12-18-2025),12/18/2025,% Volatile Suspended Solids,89,89,,%
ST25DEC19-01-034 ,TEM ABF Effluent (12-18-2025),12/18/2025,Total Suspended Solids,218,218,,mg/L
ST25DEC19-01-034 ,TEM ABF Effluent (12-18-2025),12/18/2025,Volatile Suspended Solids,193,193,,mg/L
ST25DEC19-01-034 ,TEM ABF Effluent (12-18-2025),12/18/2025,pH,7.50,7.50,,pH Units
ST25DEC19-01-034 ,TEM ABF Effluent (12-18-2025),12/18/2025,Soluble BOD,247,247,,mg/L
ST25DEC20-02-033 ,TEM ABF Effluent (12-19-2025),12/19/2025,% Volatile Suspended Solids,95,95,,%
ST25DEC20-02-033 ,TEM ABF Effluent (12-19-2025),12/19/2025,Total Suspended Solids,280,280,,mg/L
ST25DEC20-02-033 ,TEM ABF Effluent (12-19-2025),12/19/2025,Volatile Suspended Solids,265,265,,mg/L
ST25DEC20-02-033 ,TEM ABF Effluent (12-19-2025),12/19/2025,pH,7.54,7.54,,pH Units
ST25DEC20-02-033 ,TEM ABF Effluent (12-19-2025),12/19/2025,Soluble BOD,214,214,,mg/L
ST25DEC21-02-033 ,TEM ABF Effluent (12-20-2025),12/20/2025,% Volatile Suspended Solids,96,96,,%
ST25DEC21-02-033 ,TEM ABF Effluent (12-20-2025),12/20/2025,Total Suspended Solids,218,218,,mg/L
ST25DEC21-02-033 ,TEM ABF Effluent (12-20-2025),12/20/2025,Volatile Suspended Solids,210,210,,mg/L
ST25DEC21-02-033 ,TEM ABF Effluent (12-20-2025),12/20/2025,pH,7.57,7.57,,pH Units
ST25DEC21-02-033 ,TEM ABF Effluent (12-20-2025),12/20/2025,Soluble BOD,149,149,,mg/L
ST25DEC22-01-034,TEM ABF Effluent (12-21-2025),12/21/2025,% Volatile Suspended Solids,83,83,,%
ST25DEC22-01-034,TEM ABF Effluent (12-21-2025),12/21/2025,Total Suspended Solids,134,134,,mg/L
ST25DEC22-01-034,TEM ABF Effluent (12-21-2025),12/21/2025,Volatile Suspended Solids,112,112,,mg/L
ST25DEC22-01-034,TEM ABF Effluent (12-21-2025),12/21/2025,pH,7.48,7.48,,pH Units
ST25DEC22-01-034,TEM ABF Effluent (12-21-2025),12/21/2025,Soluble BOD,202,202,,mg/L
ST25DEC23-01-034 ,TEM ABF Effluent (12-22-2025),12/22/2025,% Volatile Suspended Solids,91,91,,%
ST25DEC23-01-034 ,TEM ABF Effluent (12-22-2025),12/22/2025,Total Suspended Solids,163,163,,mg/L
ST25DEC23-01-034 ,TEM ABF Effluent (12-22-2025),12/22/2025,Volatile Suspended Solids,148,148,,mg/L
ST25DEC23-01-034 ,TEM ABF Effluent (12-22-2025),12/22/2025,pH,7.39,7.39,,pH Units
ST25DEC23-01-034 ,TEM ABF Effluent (12-22-2025),12/22/2025,Soluble BOD,138,138,,mg/L
ST25DEC24-01-034 ,TEM ABF Effluent (12-23-2025),12/23/2025,% Volatile Suspended Solids,91,91,,%
ST25DEC24-01-034 ,TEM ABF Effluent (12-23-2025),12/23/2025,Total Suspended Solids,316,316,,mg/L
ST25DEC24-01-034 ,TEM ABF Effluent (12-23-2025),12/23/2025,Volatile Suspended Solids,288,288,,mg/L
ST25DEC24-01-034 ,TEM ABF Effluent (12-23-2025),12/23/2025,pH,7.56,7.56,,pH Units
ST25DEC24-01-034 ,TEM ABF Effluent (12-23-2025),12/23/2025,Soluble BOD,154,154,,mg/L
ST25DEC25-01-036 ,TEM ABF Effluent (12-24-2025),12/24/2025,pH,7.34,7.34,,pH Units
ST25DEC25-01-036 ,TEM ABF Effluent (12-24-2025),12/24/2025,Soluble BOD,223,223,,mg/L
ST25DEC25-01-036 ,TEM ABF Effluent (12-24-2025),12/24/2025,% Volatile Suspended Solids,92,92,,%
ST25DEC25-01-036 ,TEM ABF Effluent (12-24-2025),12/24/2025,Total Suspended Solids,448,448,,mg/L
ST25DEC25-01-036 ,TEM ABF Effluent (12-24-2025),12/24/2025,Volatile Suspended Solids,412,412,,mg/L
ST25DEC26-01-034,TEM ABF Effluent (12-25-2025),12/25/2025,% Volatile Suspended Solids,86,86,,%
ST25DEC26-01-034,TEM ABF Effluent (12-25-2025),12/25/2025,Total Suspended Solids,143,143,,mg/L
ST25DEC26-01-034,TEM ABF Effluent (12-25-2025),12/25/2025,Volatile Suspended Solids,123,123,,mg/L
ST25DEC26-01-034,TEM ABF Effluent (12-25-2025),12/25/2025,pH,7.47,7.47,,pH Units
ST25DEC26-01-034,TEM ABF Effluent (12-25-2025),12/25/2025,Soluble BOD,137,137,,mg/L
ST25DEC27-02-033 ,TEM ABF Effluent (12-26-2025),12/26/2025,% Volatile Suspended Solids,86,86,,%
ST25DEC27-02-033 ,TEM ABF Effluent (12-26-2025),12/26/2025,Total Suspended Solids,138,138,,mg/L
ST25DEC27-02-033 ,TEM ABF Effluent (12-26-2025),12/26/2025,Volatile Suspended Solids,118,118,,mg/L
ST25DEC27-02-033 ,TEM ABF Effluent (12-26-2025),12/26/2025,pH,7.45,7.45,,pH Units
ST25DEC27-02-033 ,TEM ABF Effluent (12-26-2025),12/26/2025,Soluble BOD,116,116,,mg/L
ST25DEC28-02-033 ,TEM ABF Effluent (12-27-2025),12/27/2025,% Volatile Suspended Solids,87,87,,%
ST25DEC28-02-033 ,TEM ABF Effluent (12-27-2025),12/27/2025,Total Suspended Solids,162,162,,mg/L
ST25DEC28-02-033 ,TEM ABF Effluent (12-27-2025),12/27/2025,Volatile Suspended Solids,141,141,,mg/L
ST25DEC28-02-033 ,TEM ABF Effluent (12-27-2025),12/27/2025,pH,7.54,7.54,,pH Units
ST25DEC28-02-033 ,TEM ABF Effluent (12-27-2025),12/27/2025,Soluble BOD,>144,>144,T,mg/L
ST25DEC29-01-034,TEM ABF Effluent (12-28-2025),12/28/2025,% Volatile Suspended Solids,87,87,,%
ST25DEC29-01-034,TEM ABF Effluent (12-28-2025),12/28/2025,Total Suspended Solids,138,138,,mg/L
ST25DEC29-01-034,TEM ABF Effluent (12-28-2025),12/28/2025,Volatile Suspended Solids,120,120,,mg/L
ST25DEC29-01-034,TEM ABF Effluent (12-28-2025),12/28/2025,pH,7.45,7.45,,pH Units
ST25DEC29-01-034,TEM ABF Effluent (12-28-2025),12/28/2025,Soluble BOD,96,96,,mg/L
ST25DEC30-01-034 ,TEM ABF Effluent (12-29-2025),12/29/2025,% Volatile Suspended Solids,99,99,,%
ST25DEC30-01-034 ,TEM ABF Effluent (12-29-2025),12/29/2025,Total Suspended Solids,133,133,,mg/L
ST25DEC30-01-034 ,TEM ABF Effluent (12-29-2025),12/29/2025,Volatile Suspended Solids,132,132,,mg/L
ST25DEC30-01-034 ,TEM ABF Effluent (12-29-2025),12/29/2025,pH,7.49,7.49,,pH Units
ST25DEC30-01-034 ,TEM ABF Effluent (12-29-2025),12/29/2025,Soluble BOD,96,96,,mg/L
ST25DEC31-01-034 ,TEM ABF Effluent (12-30-2025),12/30/2025,% Volatile Suspended Solids,95,95,,%
ST25DEC31-01-034 ,TEM ABF Effluent (12-30-2025),12/30/2025,Total Suspended Solids,153,153,,mg/L
ST25DEC31-01-034 ,TEM ABF Effluent (12-30-2025),12/30/2025,Volatile Suspended Solids,146,146,,mg/L
ST25DEC31-01-034 ,TEM ABF Effluent (12-30-2025),12/30/2025,pH,7.46,7.46,,pH Units
ST25DEC31-01-034 ,TEM ABF Effluent (12-30-2025),12/30/2025,Soluble BOD,90,90,,mg/L
ST26JAN01-06-036 ,TEM ABF Effluent (12-31-2025),12/31/2025,pH,7.52,7.52,,pH Units
ST26JAN01-06-036 ,TEM ABF Effluent (12-31-2025),12/31/2025,Soluble BOD,112,112,,mg/L
ST26JAN01-06-036 ,TEM ABF Effluent (12-31-2025),12/31/2025,% Volatile Suspended Solids,85,85,,%
ST26JAN01-06-036 ,TEM ABF Effluent (12-31-2025),12/31/2025,Total Suspended Solids,266,266,,mg/L
ST26JAN01-06-036 ,TEM ABF Effluent (12-31-2025),12/31/2025,Volatile Suspended Solids,226,226,,mg/L
ST26JAN02-01-034 ,TEM ABF Effluent (01-01-2026),1/1/2026,% Volatile Suspended Solids,82,82,,%
ST26JAN02-01-034 ,TEM ABF Effluent (01-01-2026),1/1/2026,Total Suspended Solids,149,149,,mg/L
ST26JAN02-01-034 ,TEM ABF Effluent (01-01-2026),1/1/2026,Volatile Suspended Solids,121,121,,mg/L
ST26JAN02-01-034 ,TEM ABF Effluent (01-01-2026),1/1/2026,pH,7.66,7.66,,pH Units
ST26JAN02-01-034 ,TEM ABF Effluent (01-01-2026),1/1/2026,Soluble BOD,281,281,,mg/L
ST26JAN03-02-033 ,TEM ABF Effluent (01-02-2026),1/2/2026,% Volatile Suspended Solids,90,90,,%
ST26JAN03-02-033 ,TEM ABF Effluent (01-02-2026),1/2/2026,Total Suspended Solids,196,196,,mg/L
ST26JAN03-02-033 ,TEM ABF Effluent (01-02-2026),1/2/2026,Volatile Suspended Solids,178,178,,mg/L
ST26JAN03-02-033 ,TEM ABF Effluent (01-02-2026),1/2/2026,pH,7.49,7.49,,pH Units
ST26JAN03-02-033 ,TEM ABF Effluent (01-02-2026),1/2/2026,Soluble BOD,126,126,,mg/L
ST26JAN04-02-033 ,TEM ABF Effluent (01-03-2026),1/3/2026,% Volatile Suspended Solids,93,93,,%
ST26JAN04-02-033 ,TEM ABF Effluent (01-03-2026),1/3/2026,Total Suspended Solids,210,210,,mg/L
ST26JAN04-02-033 ,TEM ABF Effluent (01-03-2026),1/3/2026,Volatile Suspended Solids,195,195,,mg/L
ST26JAN04-02-033 ,TEM ABF Effluent (01-03-2026),1/3/2026,pH,7.37,7.37,,pH Units
ST26JAN04-02-033 ,TEM ABF Effluent (01-03-2026),1/3/2026,Soluble BOD,91,91,,mg/L
ST26JAN05-01-034 ,TEM ABF Effluent (01-04-2026),1/4/2026,% Volatile Suspended Solids,86,86,,%
ST26JAN05-01-034 ,TEM ABF Effluent (01-04-2026),1/4/2026,Total Suspended Solids,183,183,,mg/L
ST26JAN05-01-034 ,TEM ABF Effluent (01-04-2026),1/4/2026,Volatile Suspended Solids,158,158,,mg/L
ST26JAN05-01-034 ,TEM ABF Effluent (01-04-2026),1/4/2026,pH,7.24,7.24,,pH Units
ST26JAN05-01-034 ,TEM ABF Effluent (01-04-2026),1/4/2026,Soluble BOD,127,127,,mg/L
ST26JAN06-01-034 ,TEM ABF Effluent (01-05-2026),1/5/2026,% Volatile Suspended Solids,88,88,,%
ST26JAN06-01-034 ,TEM ABF Effluent (01-05-2026),1/5/2026,Total Suspended Solids,179,179,,mg/L
ST26JAN06-01-034 ,TEM ABF Effluent (01-05-2026),1/5/2026,Volatile Suspended Solids,158,158,,mg/L
ST26JAN06-01-034 ,TEM ABF Effluent (01-05-2026),1/5/2026,pH,7.50,7.50,,pH Units
ST26JAN06-01-034 ,TEM ABF Effluent (01-05-2026),1/5/2026,Soluble BOD,121,121,,mg/L
ST26JAN07-01-034 ,TEM ABF Effluent (01-06-2026),1/6/2026,% Volatile Suspended Solids,89,89,,%
ST26JAN07-01-034 ,TEM ABF Effluent (01-06-2026),1/6/2026,Total Suspended Solids,206,206,,mg/L
ST26JAN07-01-034 ,TEM ABF Effluent (01-06-2026),1/6/2026,Volatile Suspended Solids,184,184,,mg/L
ST26JAN07-01-034 ,TEM ABF Effluent (01-06-2026),1/6/2026,pH,7.44,7.44,,pH Units
ST26JAN07-01-034 ,TEM ABF Effluent (01-06-2026),1/6/2026,Soluble BOD,197,197,,mg/L
ST26JAN08-01-036 ,TEM ABF Effluent (01-07-2026),1/7/2026,% Volatile Suspended Solids,83,83,,%
ST26JAN08-01-036 ,TEM ABF Effluent (01-07-2026),1/7/2026,Total Suspended Solids,203,203,,mg/L
ST26JAN08-01-036 ,TEM ABF Effluent (01-07-2026),1/7/2026,Volatile Suspended Solids,168,168,,mg/L
ST26JAN09-01-034 ,TEM ABF Effluent (01-08-2026),1/8/2026,% Volatile Suspended Solids,86,86,,%
ST26JAN09-01-034 ,TEM ABF Effluent (01-08-2026),1/8/2026,Total Suspended Solids,173,173,,mg/L
ST26JAN09-01-034 ,TEM ABF Effluent (01-08-2026),1/8/2026,Volatile Suspended Solids,149,149,,mg/L
ST26JAN10-02-033 ,TEM ABF Effluent (01-09-2026),1/9/2026,% Volatile Suspended Solids,96,96,,%
ST26JAN10-02-033 ,TEM ABF Effluent (01-09-2026),1/9/2026,Total Suspended Solids,424,424,,mg/L
ST26JAN10-02-033 ,TEM ABF Effluent (01-09-2026),1/9/2026,Volatile Suspended Solids,406,406,,mg/L

